time,p2p 0.1d %,p2p 0.2d %,p2p 0.3d %,p2p 0.4d %,p2p 0.5d %,p2p 0.8d %,,cs 0.1d %,cs 0.2d %,cs 0.3d %,cs 0.4d %,cs 0.5d %
134000,-0.212605042,-0.207043109,-0.16408046,0.874603175,0.798245614,0.215361446,,0.765861027,-0.105340376,-0.132435466,0.826171875,0.845377604
135000,-0.212605042,-0.207043109,-0.16408046,0.874603175,0.799707602,0.215863454,,0.765861027,-0.105340376,-0.132435466,0.826171875,0.845377604
136000,-0.212605042,-0.207043109,-0.16408046,0.874603175,0.800584795,0.216365462,,0.765861027,-0.105340376,-0.132435466,0.826497396,0.845703125
137000,-0.212605042,-0.207043109,-0.16408046,0.874603175,0.800877193,0.21686747,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.845703125
138000,-0.212605042,-0.207043109,-0.16408046,0.874603175,0.801461988,0.21686747,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.845703125
139000,-0.212605042,-0.207043109,-0.16408046,0.874603175,0.802631579,0.217369478,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.845703125
140000,-0.212605042,-0.207043109,-0.16408046,0.874920635,0.804385965,0.217871486,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.845703125
141000,-0.212605042,-0.207043109,-0.16408046,0.875238095,0.806140351,0.217871486,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.845703125
142000,-0.212605042,-0.207043109,-0.16408046,0.875555556,0.807309942,0.218373494,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.845703125
143000,-0.212605042,-0.207043109,-0.16408046,0.875555556,0.808187135,0.218373494,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.846028646
144000,-0.212605042,-0.207043109,-0.16408046,0.875555556,0.808187135,0.218373494,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.846028646
145000,-0.212605042,-0.207043109,-0.16408046,0.875873016,0.808479532,0.218373494,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.846354167
146000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.80877193,0.218373494,,0.765861027,-0.105340376,-0.132435466,0.826822917,0.846679688
147000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.809649123,0.218373494,,0.765861027,-0.105340376,-0.132435466,0.827473958,0.846679688
148000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.810818713,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
149000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.811695906,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
150000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.811988304,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
151000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.812865497,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
152000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.81374269,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
153000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.814619883,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
154000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.815497076,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
155000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.816374269,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
156000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.816666667,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
157000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.817251462,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
158000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.818128655,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
159000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.818128655,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
160000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.81871345,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
161000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.819298246,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
162000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.819883041,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
163000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.820467836,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
164000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.821345029,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
165000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.821637427,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
166000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.822222222,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
167000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.823099415,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
168000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.823976608,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
169000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.824269006,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
170000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.824561404,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
171000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.824853801,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
172000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.825438596,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
173000,-0.212605042,-0.207043109,-0.16408046,-0.124126984,0.826315789,0.218373494,,0.765861027,-0.105340376,-0.132435466,-0.172526042,0.846679688
